Starting new run: Mon Jun 12 16:15:55 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.003068;-0.306796;-0.000000;0.000000;0.021721;0.000000;38.500000;101.500000;230.500000;100.500000;0.000091;0.025724;0.005208;-1.323723;-0.083227;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.021721;0.000000;37.500000;101.500000;231.500000;100.500000;0.000090;-0.000133;0.005155;-0.050151;-0.190606;Mon Jun 12 16:16:12 2023
0.006136;0.306796;0.003068;0.306796;0.021752;0.000000;38.500000;101.500000;232.500000;101.500000;0.000000;-0.012761;0.000000;0.591117;-1.023687;Mon Jun 12 16:16:12 2023
0.009204;0.306796;0.003068;0.000000;0.021783;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.012893;-0.005208;1.491778;-0.271977;Mon Jun 12 16:16:12 2023
0.009204;0.000000;0.003068;0.000000;0.021813;0.000000;38.500000;101.500000;230.500000;100.500000;0.000091;0.025785;0.005208;0.217931;-0.103149;Mon Jun 12 16:16:12 2023
0.003068;-0.613592;-0.000000;-0.306796;0.021813;0.000000;37.500000;102.500000;231.500000;101.500000;0.000090;-0.000133;0.005155;-1.841314;0.565376;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.021813;0.000000;38.500000;101.500000;231.500000;100.500000;0.000090;0.000066;0.005181;-0.050974;-0.190581;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.021813;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.012823;0.000000;-0.050974;-0.248336;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.000000;0.021813;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.012822;-0.005181;1.366728;-0.252579;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.021813;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.012821;0.000000;0.093156;-0.141881;Mon Jun 12 16:16:12 2023
0.003068;-0.306796;-0.000000;0.000000;0.021813;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-1.324546;-0.195104;Mon Jun 12 16:16:12 2023
0.000000;-0.306796;-0.003068;-0.306796;0.021783;0.000000;38.500000;101.500000;232.500000;101.500000;0.000000;0.000000;0.000000;-0.692242;0.581330;Mon Jun 12 16:16:12 2023
0.003068;0.306796;-0.000000;0.306796;0.021783;0.000000;38.500000;101.500000;230.500000;100.500000;0.000091;0.012885;0.005208;0.466068;-0.893878;Mon Jun 12 16:16:12 2023
0.006136;0.306796;0.003068;0.306796;0.021813;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.025767;-0.005208;0.590569;-1.082496;Mon Jun 12 16:16:12 2023
0.009204;0.306796;0.006136;0.306796;0.021875;0.000000;37.500000;100.500000;230.500000;101.500000;-0.000090;0.000067;-0.005181;0.714795;-0.995138;Mon Jun 12 16:16:13 2023
0.009204;0.000000;0.003068;-0.306796;0.021905;0.000000;37.500000;101.500000;230.500000;100.500000;0.000090;0.025630;0.005181;0.973912;0.652165;Mon Jun 12 16:16:13 2023
0.003068;-0.613592;-0.000000;-0.306796;0.021905;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;-0.012814;0.000000;-1.842137;0.507684;Mon Jun 12 16:16:13 2023
