Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:22:21 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.006136;0.230097;0.009204;0.230097;0.127995;0.000000;47.500000;102.500000;234.500000;101.500000;0.005348;2.409417;0.306392;1;0.454799;-0.419760;0.285769;-0.022838;0;-0.022838;0.151105;0.174945;2.409417;0.000000;-3.221159;1.614952;Mon Jun 26 13:22:32 2023
0.006136;0.230097;0.009204;0.230097;0.127995;0.000000;47.500000;102.500000;234.500000;103.500000;-0.005348;-1.606303;-0.306392;1;0.454799;-0.419760;-0.092645;-0.126831;0;-0.126831;-0.022838;0.151105;-1.606303;2.409417;0.000000;-3.221159;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.128118;0.000000;48.500000;102.500000;234.500000;101.500000;0.005376;1.610626;0.308039;1;0.082057;-0.751114;0.248009;-0.081424;0;-0.081424;-0.126831;-0.022838;1.610626;-1.606303;2.409417;0.000000;Mon Jun 26 13:22:32 2023
0.006136;0.000000;0.009204;0.000000;0.128118;0.000000;46.500000;102.500000;234.500000;102.500000;0.000000;-0.807509;0.000000;1;0.082057;-0.751114;0.036905;0.029601;0;0.029601;-0.081424;-0.126831;-0.807509;1.610626;-1.606303;2.409417;Mon Jun 26 13:22:32 2023
0.003068;-0.230097;0.006136;-0.230097;0.128200;0.000000;48.500000;103.500000;234.500000;101.500000;0.010752;1.615007;0.616060;1;-0.398281;0.330950;0.352526;0.156908;0;0.156908;0.029601;-0.081424;1.615007;-0.807509;1.610626;-1.606303;Mon Jun 26 13:22:32 2023
0.003068;-0.230097;0.006136;-0.230097;0.128200;0.000000;47.500000;101.500000;234.500000;102.500000;-0.005348;-2.418203;-0.306392;1;-0.398281;0.330950;-0.201620;0.247730;0;0.247730;0.156908;0.029601;-2.418203;1.615007;-0.807509;1.610626;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.006136;0.000000;0.128282;0.000000;47.500000;101.500000;233.500000;103.500000;-0.010752;-0.811792;-0.616060;1;-0.025743;0.468188;-0.323654;0.185707;0;0.185707;0.247730;0.156908;-0.811792;-2.418203;1.615007;-0.807509;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.006136;0.000000;0.128282;0.000000;47.500000;102.500000;234.500000;102.500000;0.000000;1.615018;0.000000;1;-0.025743;0.468188;0.064080;-0.039484;0;-0.039484;0.185707;0.247730;1.615018;-0.811792;-2.418203;1.615007;Mon Jun 26 13:22:32 2023
0.006136;0.230097;0.006136;0.000000;0.128364;0.000000;48.500000;101.500000;234.500000;103.500000;-0.010752;-1.614984;-0.616060;1;0.832908;-0.266572;-0.271733;-0.249657;0;-0.249657;-0.039484;0.185707;-1.614984;1.615018;-0.811792;-2.418203;Mon Jun 26 13:22:32 2023
0.006136;0.230097;0.006136;0.000000;0.128364;0.000000;47.500000;101.500000;234.500000;101.500000;0.000000;1.615014;0.000000;1;0.832908;-0.266572;0.105617;-0.326505;0;-0.326505;-0.249657;-0.039484;1.615014;-1.614984;1.615018;-0.811792;Mon Jun 26 13:22:32 2023
