Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:18:06 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.003068;0.000000;-0.021476;0.000000;0.141822;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.008579;-0.308039;1;0.006602;-0.301588;-0.030317;0.101513;0;0.101513;0.191475;0.188442;-0.008579;0.004266;-0.802099;0.000000;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.021476;0.000000;0.141822;0.000000;47.500000;91.500000;234.500000;92.500000;-0.005348;0.004312;-0.306392;1;0.006602;-0.301588;-0.023392;-0.010101;0;-0.010101;0.101513;0.191475;0.004312;-0.008579;0.004266;-0.802099;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.230097;0.141576;0.000000;47.500000;90.500000;234.500000;92.500000;-0.010695;-0.802054;-0.612766;1;-0.371630;-0.680865;-0.179124;-0.099280;0;-0.099280;-0.010101;0.101513;-0.802054;0.004312;-0.008579;0.004266;Mon Jun 26 13:18:15 2023
0.006136;0.230097;-0.018408;0.000000;0.141331;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;0.797725;-0.308039;1;0.860727;0.437700;0.016246;-0.163588;0;-0.163588;-0.099280;-0.010101;0.797725;-0.802054;0.004312;-0.008579;Mon Jun 26 13:18:15 2023
0.006136;0.230097;-0.018408;0.000000;0.141331;0.000000;48.500000;92.500000;234.500000;92.500000;0.000000;0.806370;0.000000;1;0.860727;0.437700;0.174271;-0.158847;0;-0.158847;-0.163588;-0.099280;0.806370;0.797725;-0.802054;0.004312;Mon Jun 26 13:18:15 2023
0.006136;0.000000;-0.018408;0.000000;0.141085;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.806386;-0.308039;1;0.114975;-0.308052;-0.021861;-0.055682;0;-0.055682;-0.158847;-0.163588;-0.806386;0.806370;0.797725;-0.802054;Mon Jun 26 13:18:15 2023
0.006136;0.000000;-0.018408;0.000000;0.141085;0.000000;47.500000;91.500000;234.500000;92.500000;-0.005348;0.004312;-0.306392;1;0.114975;-0.308052;-0.016626;0.058921;0;0.058921;-0.055682;-0.158847;0.004312;-0.806386;0.806370;0.797725;Mon Jun 26 13:18:15 2023
0.003068;-0.230097;-0.018408;0.000000;0.140840;0.000000;47.500000;92.500000;234.500000;92.500000;0.000000;0.802082;0.000000;1;-0.743513;-1.052748;0.147115;0.110953;0;0.110953;0.058921;-0.055682;0.802082;0.004312;-0.806386;0.806370;Mon Jun 26 13:18:15 2023
0.003068;-0.230097;-0.018408;0.000000;0.140840;0.000000;48.500000;91.500000;235.500000;92.500000;-0.005348;-0.802058;-0.306392;1;-0.743513;-1.052748;-0.042719;0.124768;0;0.124768;0.110953;0.058921;-0.802058;0.802082;0.004312;-0.806386;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.021476;-0.230097;0.140554;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.004312;-0.308039;1;0.381248;0.072013;-0.035038;0.104733;0;0.104733;0.124768;0.110953;-0.004312;-0.802058;0.802082;0.004312;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.021476;-0.230097;0.140554;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;0.000000;-0.308039;1;0.381248;0.072013;-0.028030;0.038330;0;0.038330;0.104733;0.124768;0.000000;-0.004312;-0.802058;0.802082;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.230097;0.140308;0.000000;48.500000;91.500000;235.500000;91.500000;0.000000;0.806371;0.000000;1;-0.370362;-0.483097;0.138850;-0.021886;0;-0.021886;0.038330;0.104733;0.806371;0.000000;-0.004312;-0.802058;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.230097;0.140308;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.806411;-0.308039;1;-0.370362;-0.483097;-0.050202;-0.025622;0;-0.025622;-0.021886;0.038330;-0.806411;0.806371;0.000000;-0.004312;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.140063;0.000000;47.500000;90.500000;234.500000;92.500000;-0.010695;-0.797741;-0.612766;1;0.003262;-0.307029;-0.199710;-0.022987;0;-0.022987;-0.025622;-0.021886;-0.797741;-0.806411;0.806371;0.000000;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.140063;0.000000;47.500000;91.500000;235.500000;91.500000;0.000000;1.604106;0.000000;1;0.003262;-0.307029;0.161053;-0.059712;0;-0.059712;-0.022987;-0.025622;1.604106;-0.797741;-0.806411;0.806371;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.139817;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.806417;-0.308039;1;0.003508;-0.306784;-0.032441;-0.070433;0;-0.070433;-0.059712;-0.022987;-0.806417;1.604106;-0.797741;-0.806411;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.139817;0.000000;47.500000;91.500000;234.500000;92.500000;-0.005348;0.004312;-0.306392;1;0.003508;-0.306784;-0.025090;-0.030768;0;-0.030768;-0.070433;-0.059712;0.004312;-0.806417;1.604106;-0.797741;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.139572;0.000000;47.500000;92.500000;234.500000;92.500000;0.000000;0.802105;0.000000;1;0.003753;-0.305482;0.140349;0.012555;0;0.012555;-0.030768;-0.070433;0.802105;0.004312;-0.806417;1.604106;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.018408;0.000000;0.139572;0.000000;48.500000;91.500000;234.500000;92.500000;-0.005376;-0.806372;-0.308039;1;0.003753;-0.305482;-0.048995;0.053502;0;0.053502;0.012555;-0.030768;-0.806372;0.802105;0.004312;-0.806417;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.230097;0.139367;0.000000;47.500000;92.500000;234.500000;92.500000;0.000000;0.806393;0.000000;1;-0.374519;-0.684811;0.122082;0.085198;0;0.085198;0.053502;0.012555;0.806393;-0.806372;0.802105;0.004312;Mon Jun 26 13:18:15 2023
0.003068;0.000000;-0.015340;0.230097;0.139367;0.000000;47.500000;91.500000;234.500000;93.500000;-0.010695;-1.604098;-0.612766;1;-0.374519;-0.684811;-0.223154;0.075637;0;0.075637;0.085198;0.053502;-1.604098;0.806393;-0.806372;0.802105;Mon Jun 26 13:18:15 2023
